Team,NAME,Jersey,POS,AGE,HT,WT,COLLEGE,SALARY
Charlotte Hornets,Cody Martin,11,SF,27,"6' 6""",205 lbs,Nevada,"$7,560,000"
Charlotte Hornets,Bryce McGowens,7,G,20,"6' 6""",175 lbs,Nebraska,"$1,719,865"
Charlotte Hornets,Nathan Mensah,31,C,25,"6' 10""",230 lbs,San Diego State,--
Charlotte Hornets,Brandon Miller,NA,F,20,"6' 9""",200 lbs,Alabama,"$10,880,400"
Charlotte Hornets,James Nnaji,NA,C,19,"6' 11""",250 lbs,--,--
Charlotte Hornets,Frank Ntilikina,NA,PG,25,"6' 4""",200 lbs,--,"$2,019,706"
Charlotte Hornets,Kelly Oubre Jr.,12,SG,27,"6' 6""",203 lbs,Kansas,--
Charlotte Hornets,Nick Richards,4,C,25,"7' 0""",245 lbs,Kentucky,"$5,000,000"
Charlotte Hornets,Terry Rozier,3,SG,29,"6' 1""",190 lbs,Louisville,"$22,205,221"
Charlotte Hornets,Trevon Scott,18,F,26,"6' 8""",225 lbs,Cincinnati,--
Charlotte Hornets,Jaylen Sims,30,G,24,"6' 6""",210 lbs,UNC Wilmington,--
Charlotte Hornets,Nick Smith Jr.,NA,G,19,"6' 4""",170 lbs,Arkansas,"$2,463,960"
Charlotte Hornets,JT Thor,21,F,21,"6' 9""",203 lbs,Auburn,"$1,836,096"
Charlotte Hornets,P.J. Washington,25,PF,25,"6' 7""",230 lbs,Kentucky,"$16,847,826"
Charlotte Hornets,Mark Williams,5,C,21,"7' 0""",240 lbs,Duke,"$3,908,160"
Chicago Bulls,Lonzo Ball,2,PG,25,"6' 6""",190 lbs,UCLA,"$20,465,117"
Chicago Bulls,Jevon Carter,NA,PG,28,"6' 1""",200 lbs,West Virginia,"$6,190,476"
Chicago Bulls,Alex Caruso,6,SG,29,"6' 5""",186 lbs,Texas A&M,"$9,460,000"
Chicago Bulls,Torrey Craig,0,SF,32,"6' 7""",221 lbs,South Carolina Upstate,"$2,528,233"
Chicago Bulls,DeMar DeRozan,11,SF,34,"6' 6""",220 lbs,USC,"$28,600,000"
Chicago Bulls,Ayo Dosunmu,12,SG,23,"6' 5""",200 lbs,Illinois,"$6,481,481"
Chicago Bulls,Andre Drummond,3,C,30,"6' 11""",279 lbs,UConn,"$3,360,000"
Chicago Bulls,Javonte Green,24,SF,30,"6' 5""",205 lbs,Radford,--
Chicago Bulls,Carlik Jones,22,G,25,"6' 0""",174 lbs,Louisville,"$1,922,896"
Chicago Bulls,Zach LaVine,8,SG,28,"6' 5""",200 lbs,UCLA,"$40,064,220"
Chicago Bulls,Justin Lewis,34,F,21,"6' 7""",245 lbs,Marquette,--
Chicago Bulls,Julian Phillips,NA,F,19,"6' 8""",197 lbs,Tennessee,"$1,600,000"
Chicago Bulls,Marko Simonovic,19,C,23,"7' 0""",220 lbs,--,"$1,836,096"
